ESPECE_nom,CD_REF,GROUP1_INPN,REGNE,Commentaire
Abies alba,79319,Trachéophytes,Plantae,
Achillea erba-rotta,79887,Trachéophytes,Plantae,
Achillea millefolium,79908,Trachéophytes,Plantae,
Aegopodium podagraria,80322,Trachéophytes,Plantae,
Agaricus campestris,NA,NA,NA,Champignon
Allium ursinum,81541,Trachéophytes,Plantae,
Allium victorialis,81543,Trachéophytes,Plantae,
Aloe vera,639239,Trachéophytes,Plantae,
Amanita caesarea,NA,NA,NA,Champignon
Antennaria dioica,82796,Trachéophytes,Plantae,
Arbutus unedo,83481,Trachéophytes,Plantae,
Aristolochia rotunda,83793,Trachéophytes,Plantae,
Armeria maritima,83832,Trachéophytes,Plantae,
Arnica montana,83874,Trachéophytes,Plantae,
Artemisia eriantha,83969,Trachéophytes,Plantae,
Artemisia genipi,83973,Trachéophytes,Plantae,
Artemisia glacialis,83974,Trachéophytes,Plantae,
Artemisia spp. ,NA,NA,NA,
Artemisia umbelliformis,84053,Trachéophytes,Plantae,
Arundo donax,84173,Trachéophytes,Plantae,
Asparagus acutifolius,84264,Trachéophytes,Plantae,
Bellis perennis,85740,Trachéophytes,Plantae,
Beta vulgaris,85820,Trachéophytes,Plantae,
Betula pendula,85903,Trachéophytes,Plantae,
Betula pubescens,85904,Trachéophytes,Plantae,
Betula spp.,NA,NA,NA,
Boletus edulis,NA,NA,NA,Champignon
Bunium bulbocastanum,86983,Trachéophytes,Plantae,
Buxus sempervirens,87143,Trachéophytes,Plantae,
Calluna vulgaris,87501,Trachéophytes,Plantae,
Cantharellus cibarius,NA,NA,NA,Champignon
Cardamine hirsuta,87930,Trachéophytes,Plantae,
Cardamine pratensis,87964,Trachéophytes,Plantae,
Carlina acanthifolia,89145,Trachéophytes,Plantae,
Castanea sativa,89304,Trachéophytes,Plantae,
Clinopodium grandiflorum,91904,Trachéophytes,Plantae,
Clinopodium nepeta,91910,Trachéophytes,Plantae,
Colchicum autumnale,92127,Trachéophytes,Plantae,
Conopodium majus,92242,Trachéophytes,Plantae,
Convallaria majalis,92282,Trachéophytes,Plantae,
Cormus domestica,92488,Trachéophytes,Plantae,
Cornus mas,92497,Trachéophytes,Plantae,
Crataegus azarolus,92824,Trachéophytes,Plantae,
Crataegus laevigata,92864,Trachéophytes,Plantae,
Crataegus monogyna,92876,Trachéophytes,Plantae,
Crataegus spp.,NA,NA,NA,
Craterellus cornucopioides,NA,NA,NA,Champignon
Crithmum maritimum,93190,Trachéophytes,Plantae,
Cypripedium calceolus,94041,Trachéophytes,Plantae,
Dioscorea communis,611652,Trachéophytes,Plantae,
Diplotaxis erucoides,95111,Trachéophytes,Plantae,
Equisetum arvense,96508,Trachéophytes,Plantae,
Erica cinerea,96667,Trachéophytes,Plantae,
Erica spp. ,NA,NA,NA,
Eruca vesicaria,97041,Trachéophytes,Plantae,
Eryngium alpinum,97133,Trachéophytes,Plantae,
Euphorbia spinosa,97673,Trachéophytes,Plantae,
Fagus sylvatica,97947,Trachéophytes,Plantae,
Ficus carica,98653,Trachéophytes,Plantae,
Filipendula ulmaria,98717,Trachéophytes,Plantae,
Foeniculum vulgare,98756,Trachéophytes,Plantae,
Fragaria vesca,98865,Trachéophytes,Plantae,
Fraxinus excelsior,98921,Trachéophytes,Plantae,
Fritillaria meleagris,98977,Trachéophytes,Plantae,
Galanthus nivalis,99233,Trachéophytes,Plantae,
Galium odoratum,99488,Trachéophytes,Plantae,
Gentiana lutea,99903,Trachéophytes,Plantae,
Gentiana purpurea,99929,Trachéophytes,Plantae,
Glechoma hederacea,100310,Trachéophytes,Plantae,
Hedera helix,100787,Trachéophytes,Plantae,
Helichrysum italicum,101080,Trachéophytes,Plantae,
Heracleum sphondylium,101300,Trachéophytes,Plantae,
Himantoglossum hircinum,102797,Trachéophytes,Plantae,
Hippocrepis emerus,102845,Trachéophytes,Plantae,
Hippophae rhamnoides,102863,Trachéophytes,Plantae,
Humulus lupulus,103031,Trachéophytes,Plantae,
Hydnum repandum,NA,NA,NA,Champignon
Hypericum nummularium,103308,Trachéophytes,Plantae,
Hypericum perforatum,103316,Trachéophytes,Plantae,
Hyssopus officinalis,103406,Trachéophytes,Plantae,
Ilex aquifolium,103514,Trachéophytes,Plantae,
Inula montana,103639,Trachéophytes,Plantae,
Juniperus communis,104397,Trachéophytes,Plantae,
Juniperus oxycedrus,104409,Trachéophytes,Plantae,
Lactarius deliciosus,NA,NA,NA,Champignon
Lactuca perennis,104764,Trachéophytes,Plantae,
Lactuca virosa,104787,Trachéophytes,Plantae,
Lagurus ovatus,104841,Trachéophytes,Plantae,
Lapsana communis,105017,Trachéophytes,Plantae,
Laurus nobilis,105295,Trachéophytes,Plantae,
Lavandula angustifolia,105297,Trachéophytes,Plantae,
Lavandula spp.,NA,NA,NA,
Leontopodium nivale,611031,Trachéophytes,Plantae,
Leucojum vernum,105841,Trachéophytes,Plantae,
Limonium vulgare,106112,Trachéophytes,Plantae,
Lobaria pulmonaria,NA,NA,NA,Lichen
Loncomelos pyrenaicus,106546,Trachéophytes,Plantae,
Lupinus spp.,NA,NA,NA,
Malva sylvestris,107318,Trachéophytes,Plantae,
Marasmius oreades,NA,NA,NA,Champignon
Melica ciliata,107851,Trachéophytes,Plantae,
Mentha pulegium,108138,Trachéophytes,Plantae,
Mentha spp.,NA,NA,NA,
Mentha x rotundifolia,108308,Trachéophytes,Plantae,
Molopospermum peleponnesiacum,1012157,Trachéophytes,Plantae,
Morchella esculenta,NA,NA,NA,Champignon
Morus spp.,NA,NA,NA,
Myrtus communis,109186,Trachéophytes,Plantae,
Narcissus jonquilla,109263,Trachéophytes,Plantae,
Narcissus poeticus,109291,Trachéophytes,Plantae,
Narcissus pseudonarcissus,109297,Trachéophytes,Plantae,
Narcissus spp.,NA,NA,NA,
Oenothera biennis,109911,Trachéophytes,Plantae,
Olea europaea,110002,Trachéophytes,Plantae,
Ophrys fuciflora,110392,Trachéophytes,Plantae,
Ophrys spp.,NA,NA,NA,
Orchidees,NA,NA,NA,
Orchis purpurea,110966,Trachéophytes,Plantae,
Origanum majorana,111272,Trachéophytes,Plantae,
Origanum vulgare,111289,Trachéophytes,Plantae,
Osmunda regalis,111815,Trachéophytes,Plantae,
Palmaria palmata,NA,NA,NA,Algue
Papaver rhoeas,112355,Trachéophytes,Plantae,
Picea abies,113432,Trachéophytes,Plantae,
Pinus nigra,113683,Trachéophytes,Plantae,
Pistacia lentiscus,113744,Trachéophytes,Plantae,
Plantago lanceolata,113893,Trachéophytes,Plantae,
Plantago spp.,NA,NA,NA,
Polygonatum odoratum,114612,Trachéophytes,Plantae,
Primula veris,115918,Trachéophytes,Plantae,
Prunus brigantina,116050,Trachéophytes,Plantae,
Prunus spinosa,116142,Trachéophytes,Plantae,
Pteridium aquilinum,116265,Trachéophytes,Plantae,
Reichardia picroides,117426,Trachéophytes,Plantae,
Rhodiola rosea,117668,Trachéophytes,Plantae,
Ribes nigrum,117766,Trachéophytes,Plantae,
Robinia pseudoacacia,117860,Trachéophytes,Plantae,
Rosa canina,118073,Trachéophytes,Plantae,
Rosa spp.,NA,NA,NA,
Rubus fruticosus,119097,Trachéophytes,Plantae,
Rubus plicatus,119269,Trachéophytes,Plantae,
Ruscus aculeatus,119698,Trachéophytes,Plantae,
Salicornia europaea,119881,Trachéophytes,Plantae,
Salicornia spp.,NA,NA,NA,
Salvia rosmarinus,1027822,Trachéophytes,Plantae,
Sambucus nigra,120717,Trachéophytes,Plantae,
Sambucus racemosa,120720,Trachéophytes,Plantae,
Satureja montana,120908,Trachéophytes,Plantae,
Sempervivum tectorum,122493,Trachéophytes,Plantae,
Sideritis hyssopifolia,123258,Trachéophytes,Plantae,
Silene vulgaris,123683,Trachéophytes,Plantae,
Smyrnium olusatrum,124003,Trachéophytes,Plantae,
Stachys sylvatica,124814,Trachéophytes,Plantae,
Taraxacum dens-leonis,125568,Trachéophytes,Plantae,
Taraxacum officinale,717630,Trachéophytes,Plantae,
Thymus serpyllum,126573,Trachéophytes,Plantae,
Thymus vulgaris,126582,Trachéophytes,Plantae,
Tilia cordata,126628,Trachéophytes,Plantae,
Tilia spp.,NA,NA,NA,
Torminalis glaberrima,975515,Trachéophytes,Plantae,
Tulipa agenensis,127915,Trachéophytes,Plantae,
Tulipa raddii,127956,Trachéophytes,Plantae,
Tulipa sylvestris,127966,Trachéophytes,Plantae,
Tussilago farfara,128042,Trachéophytes,Plantae,
Ulex europaeus,128114,Trachéophytes,Plantae,
Umbilicus rupestris,128215,Trachéophytes,Plantae,
Urtica dioica,128268,Trachéophytes,Plantae,
Vaccinium myrtillus,128345,Trachéophytes,Plantae,
Vaccinium vitis-idaea,128355,Trachéophytes,Plantae,
Valeriana officinalis,128419,Trachéophytes,Plantae,
Viola odorata,129632,Trachéophytes,Plantae,
Viola spp.,NA,NA,NA,
Viola tricolor,129723,Trachéophytes,Plantae,
