"","CS1"
"SPECIES_state_resource.A.decline.of.the.resource",0.752116610850167
"SPECIES_state_resource.Stable",-0.700195232208346
"SPECIES_market_trend.Trend.with.risk",0.688432967716975
"SPECIES_presence.Rare",0.57922407858287
"SPECIES_presence.Widely.abundant",-0.541378344074179
"SPECIES_market_trend.No.trend",-0.503357578261887
"SPECIES_species_regulation.Yes..it.is.regulated",0.496209878250038
"SPECIES_harv_intensity.High",0.481137581194549
"SPECIES_species_regulation.No..no.known.regulation",-0.477818062032739
"SPECIES_harv_spread.Widespread.",-0.385465221656699
"SPECIES_harv_spread.Localised.",0.37175959816917
"SPECIES_harv_variation.Stable",-0.289470490677953
"SPECIES_presence.Extremely.rare",0.2798941170196
"SPECIES_uses_Food.No",0.267367920468739
"SPECIES_uses_Food.Yes",-0.267367920468739
"SPECIES_harv_variation.Increase",0.257169427218812
"SPECIES_uses_Ornamental.No",-0.24522079723206
"SPECIES_uses_Ornamental.Yes",0.24522079723206
"SPECIES_harv_intensity.Low",-0.239170855855271
"SPECIES_market_trend.Trend.without.risk",-0.224927012531976
"SPECIES_harv_parts_Underground.part.Non",-0.224459891813363
"SPECIES_harv_parts_Underground.part.Yes",0.224459891813363
"SPECIES_harv_variation.Decrease",0.165955740655591
"SPECIES_harv_intensity.Intermediate",-0.160039862445408
"SPECIES_harv_parts_Aerial.part.Non",0.156189984843848
"SPECIES_harv_parts_Aerial.part.Yes",-0.156189984843847
"SPECIES_harv_parts_Whole.plant.Non",-0.155557299684586
"SPECIES_harv_parts_Whole.plant.Yes",0.155557299684586
"SPECIES_harv_spread.Very.localised.",0.145545306922755
"SPECIES_uses_Craft.No",0.134190445666608
"SPECIES_uses_Craft.Yes",-0.134190445666608
"SPECIES_state_resource.IDK",0.121982876356456
"SPECIES_state_resource.Increase",-0.0975862557585055
"SPECIES_uses_I.don.t.know.No",-0.0956299087436377
"SPECIES_uses_I.don.t.know.Yes",0.0956299087436377
"SPECIES_harv_parts_Reproductive.part.Non",-0.0809663692931154
"SPECIES_harv_parts_Reproductive.part.Yes",0.0809663692931154
"SPECIES_harv_parts_Other.Non",0.0500729516981478
"SPECIES_harv_parts_Other.Yes",-0.0500729516981478
"SPECIES_harv_intensity.Variable.",0.0435013507221817
"SPECIES_uses_Medical.No",0.0397498559838506
"SPECIES_uses_Medical.Yes",-0.0397498559838506
"SPECIES_presence.Locally.abundant",0.0386966079281095
"SPECIES_harv_variation.Variable",-0.037000472265448
"SPECIES_presence.IDK",0.030459502012873
"SPECIES_species_regulation.IDK",0.0300185733336044
"SPECIES_state_resource.Decrease",-0.0299775052997586
"SPECIES_uses_Cosmetics.No",-0.0255484025708465
"SPECIES_uses_Cosmetics.Yes",0.0255484025708465
"SPECIES_harv_spread.IDK",0.0121326760006217
"SPECIES_harv_intensity.IDK",-0.00979144770106129
"SPECIES_harv_variation.IDK",-0.00551079176205671
